"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Umsätze","Gutschrift für Versandkosten","Gutschrift für Geschenkverpackung","Rabatte aus Werbeaktionen","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"02.06.2014 05:15:22 GMT+00:00","6441781922","Bestellung","302-8612325-6441151","V-KB-S-5","5m Klettband, Flausch & Haken, 20mm breit, zum aufnähen, schwarz","1","amazon.de","Amazon","Judendorf Strassengel","","8111","6,90","0","0","0","-1,04","-2,25","0","0","3,61"
"02.06.2014 05:37:21 GMT+00:00","6441781922","Bestellung","305-9117166-0891545","SR-UM9D-JRFU","Teppich Stopp Antirutschmatte Teppichunterlage 150 x 80 cm","1","amazon.de","Amazon","Singen (Hohentwiel)","Baden-Württemberg","78224","6,90","3,00","0","0","-1,04","-4,97","0","0","3,89"
"02.06.2014 06:11:19 GMT+00:00","6441781922","Bestellung","302-7023757-2244366","6B-TREW-CUHL","Familienbrett Systembrett Set mit 28 Figuren aus Hochwertigem Holz","1","amazon.de","Amazon","Hettstedt","Sachsen-Anhalt","06333","34,95","0","0","0","-5,24","-2,45","0","0","27,26"
"02.06.2014 06:33:20 GMT+00:00","6441781922","Bestellung","303-0153612-4452302","BF-0CSD-OBUM","Mitesserentferner Komedonenquetscher mit Schlaufe Komedonenheber","1","amazon.de","Amazon","FREIMERSHEIM","Rheinlandpfalz","67482","7,90","0","0","0","-1,19","-1,60","0","0","5,11"
"02.06.2014 06:34:07 GMT+00:00","6441781922","Bestellung","028-3995892-7124350","BF-0CSD-OBUM","Mitesserentferner Komedonenquetscher mit Schlaufe Komedonenheber","1","amazon.de","Amazon","Tübingen","Baden-Württemberg","72074","7,90","0","0","0","-1,19","-1,60","0","0","5,11"
"02.06.2014 06:34:08 GMT+00:00","6441781922","Bestellung","302-1993856-2813910","BF-0CSD-OBUM","Mitesserentferner Komedonenquetscher mit Schlaufe Komedonenheber","1","amazon.de","Amazon","Bendestorf","Niedersachsen","21227","7,90","0","0","0","-1,19","-1,60","0","0","5,11"
"02.06.2014 06:34:08 GMT+00:00","6441781922","Bestellung","028-3498034-3424325","BF-0CSD-OBUM","Mitesserentferner Komedonenquetscher mit Schlaufe Komedonenheber","1","amazon.de","Amazon","Niestetal","","34266","7,90","0","0","0","-1,19","-1,60","0","0","5,11"
"02.06.2014 06:34:09 GMT+00:00","6441781922","Bestellung","305-6634475-3787529","BF-0CSD-OBUM","Mitesserentferner Komedonenquetscher mit Schlaufe Komedonenheber","1","amazon.de","Amazon","SPEYER","","67346","7,90","0","0","0","-1,19","-1,60","0","0","5,11"
"02.06.2014 06:34:37 GMT+00:00","6441781922","Bestellung","304-9115536-7165123","BF-0CSD-OBUM","Mitesserentferner Komedonenquetscher mit Schlaufe Komedonenheber","1","amazon.de","Amazon","Schorndorf","Baden-Württemberg","73614","7,90","0","0","0","-1,19","-1,42","0","0","5,29"
"02.06.2014 06:34:37 GMT+00:00","6441781922","Bestellung","304-9115536-7165123","2O-218W-769X","Milienmesser Milienöffner Professionelles Kosmetikwerkzeug","1","amazon.de","Amazon","Schorndorf","Baden-Württemberg","73614","6,90","0","0","0","-1,04","-1,68","0","0","4,18"
