"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","ventes de produits","crédits d'expédition","crédits sur l'emballage cadeau","Rabais promotionnels","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"2 juin 2014 04:43:45 UTC+00:00","6441781892","Commande","404-7815632-9738728","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","LANGRES","","52200","9,90","2,79","0","0","-1,49","-4,33","0","0","6,87"
"2 juin 2014 06:23:44 UTC+00:00","6441781892","Commande","403-6809675-5069155","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","2","amazon.fr","Amazon","Villeurbanne","","69100","19,80","2,79","0","0","-2,97","-5,58","0","0","14,04"
"2 juin 2014 06:24:46 UTC+00:00","6441781892","Commande","403-5327263-7601938","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","PARIS","","75014","9,90","2,79","0","0","-1,49","-4,33","0","0","6,87"
"2 juin 2014 06:27:44 UTC+00:00","6441781892","Commande","404-5252611-5918765","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","bruxelles","","1180","9,90","6,00","0","0","-1,49","-7,00","0","0","7,41"
"2 juin 2014 07:14:11 UTC+00:00","6441781892","Commande","404-4106339-7187561","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","Macon","","71000","9,90","2,79","0","0","-1,49","-4,33","0","0","6,87"
"2 juin 2014 07:17:03 UTC+00:00","6441781892","Commande","403-0478273-7311554","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","PONT A MOUSSON","","54700","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"2 juin 2014 08:18:26 UTC+00:00","6441781892","Commande","404-5670755-3329122","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","BURLATS","","81100","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"2 juin 2014 09:25:48 UTC+00:00","6441781892","Commande","171-5263796-0340362","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","Rennes","","35700","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"2 juin 2014 14:38:29 UTC+00:00","6441781892","Commande","403-8338317-2078751","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","MAGALAS","","34480","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
"2 juin 2014 15:14:24 UTC+00:00","6441781892","Commande","171-5763433-1154706","BF-0CSD-OBUM","Eliminateur de points noirs - extracteur de comédons - instrument cosmétique tire-comédons","1","amazon.fr","Amazon","Brest","","29200","9,90","0","0","0","-1,49","-2,00","0","0","6,41"
