"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","product sales","postage credits","gift wrap credits","promotional rebates","selling fees","fba fees","other transaction fees","other","total"
"3 Jun 2014 08:24:40 GMT+00:00","6441781472","Order","205-6259345-5981951","9Y-S2O7-I54H","Dental Scaler Professional Tool Stainless Steel","1","amazon.co.uk","Amazon","London","England","WC1N 1AB","5.90","6.01","0","0","-0.89","-6.08","0","0","4.94"
"3 Jun 2014 08:56:30 GMT+00:00","6441781472","Order","204-2045787-4939547","9Y-S2O7-I54H","Dental Scaler Professional Tool Stainless Steel","1","amazon.co.uk","Amazon","SIDCUP","Kent","DA14 6QL","5.90","0","0","0","-0.89","-1.07","0","0","3.94"
"3 Jun 2014 14:14:06 GMT+00:00","6441781472","Order","204-0071756-4198713","9Y-S2O7-I54H","Dental Scaler Professional Tool Stainless Steel","1","amazon.co.uk","Amazon","GERRARDS CROSS","Bucks","SL9 9TR","5.90","0","0","0","-0.89","-1.07","0","0","3.94"
"3 Jun 2014 19:13:38 GMT+00:00","6441781472","Order","204-2836451-3896319","XO-FD1H-S4AQ","Nail Cleaner Instrument Professional Grade Excavator","1","amazon.co.uk","Amazon","EVESHAM","Worcs","WR11 7PP","6.49","2.90","0","0","-0.97","-5.71","0","0","2.71"
"4 Jun 2014 03:38:43 GMT+00:00","6441781472","Order","204-6796788-9789149","9Y-S2O7-I54H","Dental Scaler Professional Tool Stainless Steel","1","amazon.co.uk","Amazon","Wimbledon","London","SW19 4DA","5.90","6.01","0","0","-0.89","-6.08","0","0","4.94"
"4 Jun 2014 13:45:56 GMT+00:00","6441781472","Order","205-0638442-3556350","9Y-S2O7-I54H","Dental Scaler Professional Tool Stainless Steel","2","amazon.co.uk","Amazon","Fareham","Hampshire","PO15 5SH","11.80","0","0","0","-1.77","-1.87","0","0","8.16"
"5 Jun 2014 08:19:06 GMT+00:00","6441781472","Order","026-9310143-8188330","9Y-S2O7-I54H","Dental Scaler Professional Tool Stainless Steel","1","amazon.co.uk","Amazon","Chandler's Ford","Hants","SO53 4TL","5.90","0","0","0","-0.89","-1.07","0","0","3.94"
"5 Jun 2014 08:30:07 GMT+00:00","6441781472","Order","026-4046015-6679518","9Y-S2O7-I54H","Dental Scaler Professional Tool Stainless Steel","1","amazon.co.uk","Amazon","Stoke on Trent","Staffordshire","ST2 9AU","5.90","0","0","0","-0.89","-1.07","0","0","3.94"
"6 Jun 2014 20:48:27 GMT+00:00","6441781472","Order","205-6307844-6041134","4C-2GQC-GJ73","Splinter Tweezer","1","amazon.co.uk","Amazon","Hemel Hempstead","Herts","HP3 0AX","6.49","0","0","0","-0.97","-3.27","0","0","2.25"
"7 Jun 2014 09:30:43 GMT+00:00","6441781472","FBA Inventory Fee","","","FBA storage fee","","Amazon.co.uk","","","","","0","0","0","0","0","0","0","-0.01","-0.01"
